system:index,Class,Conf,Id,IsRice,Location,RnR,Year,gridcode,.geo
00000000000000000cc0,Rice,Y,1948,1,Barisal,R,2019,19703,"{""type"":""Point"",""coordinates"":[90.22234787555507,23.050382005122593]}"
00000000000000000e92,Rice,Y,1948,1,Barisal,R,2020,19703,"{""type"":""Point"",""coordinates"":[90.22234787555507,23.050382005122593]}"
00000000000000000003,Rice,Y,2368,1,Barisal,R,2002,19696,"{""type"":""Point"",""coordinates"":[90.32505485549622,23.05052862815237]}"
000000000000000001d5,Rice,Y,2368,1,Barisal,R,2004,19696,"{""type"":""Point"",""coordinates"":[90.32505485549622,23.05052862815237]}"
000000000000000003a7,Rice,Y,2368,1,Barisal,R,2006,19696,"{""type"":""Point"",""coordinates"":[90.32505485549622,23.05052862815237]}"
00000000000000000579,Rice,Y,2368,1,Barisal,R,2009,19696,"{""type"":""Point"",""coordinates"":[90.32505485549622,23.05052862815237]}"
0000000000000000074b,Rice,Y,2368,1,Barisal,R,2015,19696,"{""type"":""Point"",""coordinates"":[90.32505485549622,23.05052862815237]}"
0000000000000000091d,Rice,Y,2368,1,Barisal,R,2016,19696,"{""type"":""Point"",""coordinates"":[90.32505485549622,23.05052862815237]}"
00000000000000000aef,Rice,Y,2368,1,Barisal,R,2018,19696,"{""type"":""Point"",""coordinates"":[90.32505485549622,23.05052862815237]}"
00000000000000000cc1,Rice,Y,2368,1,Barisal,R,2019,19696,"{""type"":""Point"",""coordinates"":[90.32505485549622,23.05052862815237]}"
00000000000000000e93,Rice,Y,2368,1,Barisal,R,2020,19696,"{""type"":""Point"",""coordinates"":[90.32505485549622,23.05052862815237]}"
00000000000000000004,Rice,N,4139,1,Barisal,R,2002,19478,"{""type"":""Point"",""coordinates"":[90.23041451818543,23.042401270503753]}"
000000000000000001d6,Rice,N,4139,1,Barisal,R,2004,19478,"{""type"":""Point"",""coordinates"":[90.23041451818543,23.042401270503753]}"
000000000000000003a8,Rice,Y,4139,1,Barisal,R,2006,19478,"{""type"":""Point"",""coordinates"":[90.23041451818543,23.042401270503753]}"
0000000000000000057a,Rice,Y,4139,1,Barisal,R,2009,19478,"{""type"":""Point"",""coordinates"":[90.23041451818543,23.042401270503753]}"
0000000000000000074c,Rice,Y,4139,1,Barisal,R,2015,19478,"{""type"":""Point"",""coordinates"":[90.23041451818543,23.042401270503753]}"
0000000000000000091e,Rice,Y,4139,1,Barisal,R,2016,19478,"{""type"":""Point"",""coordinates"":[90.23041451818543,23.042401270503753]}"
00000000000000000af0,Rice,Y,4139,1,Barisal,R,2018,19478,"{""type"":""Point"",""coordinates"":[90.23041451818543,23.042401270503753]}"
00000000000000000cc2,Rice,Y,4139,1,Barisal,R,2019,19478,"{""type"":""Point"",""coordinates"":[90.23041451818543,23.042401270503753]}"
00000000000000000e94,Rice,Y,4139,1,Barisal,R,2020,19478,"{""type"":""Point"",""coordinates"":[90.23041451818543,23.042401270503753]}"
00000000000000000005,Rice,Y,4934,1,Barisal,R,2002,19932,"{""type"":""Point"",""coordinates"":[90.37788216662506,23.042479297872053]}"
000000000000000001d7,Rice,Y,4934,1,Barisal,R,2004,19932,"{""type"":""Point"",""coordinates"":[90.37788216662506,23.042479297872053]}"
000000000000000003a9,Rice,Y,4934,1,Barisal,R,2006,19932,"{""type"":""Point"",""coordinates"":[90.37788216662506,23.042479297872053]}"
0000000000000000057b,Rice,Y,4934,1,Barisal,R,2009,19932,"{""type"":""Point"",""coordinates"":[90.37788216662506,23.042479297872053]}"
0000000000000000074d,Rice,Y,4934,1,Barisal,R,2015,19932,"{""type"":""Point"",""coordinates"":[90.37788216662506,23.042479297872053]}"
0000000000000000091f,Rice,Y,4934,1,Barisal,R,2016,19932,"{""type"":""Point"",""coordinates"":[90.37788216662506,23.042479297872053]}"
00000000000000000af1,Rice,Y,4934,1,Barisal,R,2018,19932,"{""type"":""Point"",""coordinates"":[90.37788216662506,23.042479297872053]}"
00000000000000000cc3,Rice,Y,4934,1,Barisal,R,2019,19932,"{""type"":""Point"",""coordinates"":[90.37788216662506,23.042479297872053]}"
00000000000000000e95,Rice,Y,4934,1,Barisal,R,2020,19932,"{""type"":""Point"",""coordinates"":[90.37788216662506,23.042479297872053]}"
00000000000000000006,Rice,N,4969,1,Barisal,R,2002,16784,"{""type"":""Point"",""coordinates"":[90.54550776776593,23.04516967359333]}"
000000000000000001d8,Rice,N,4969,1,Barisal,R,2004,16784,"{""type"":""Point"",""coordinates"":[90.54550776776593,23.04516967359333]}"
000000000000000003aa,Rice,Y,4969,1,Barisal,R,2006,16784,"{""type"":""Point"",""coordinates"":[90.54550776776593,23.04516967359333]}"
0000000000000000057c,Rice,N,4969,1,Barisal,R,2009,16784,"{""type"":""Point"",""coordinates"":[90.54550776776593,23.04516967359333]}"
00000000000000000af2,Rice,Y,4969,1,Barisal,R,2018,16784,"{""type"":""Point"",""coordinates"":[90.54550776776593,23.04516967359333]}"
00000000000000000cc4,Rice,Y,4969,1,Barisal,R,2019,16784,"{""type"":""Point"",""coordinates"":[90.54550776776593,23.04516967359333]}"
00000000000000000007,Rice,N,4971,1,Barisal,R,2002,16187,"{""type"":""Point"",""coordinates"":[90.54726497493849,23.04519739080232]}"
000000000000000001d9,Rice,N,4971,1,Barisal,R,2004,16187,"{""type"":""Point"",""coordinates"":[90.54726497493849,23.04519739080232]}"
000000000000000003ab,Rice,Y,4971,1,Barisal,R,2006,16187,"{""type"":""Point"",""coordinates"":[90.54726497493849,23.04519739080232]}"
0000000000000000057d,Rice,N,4971,1,Barisal,R,2009,16187,"{""type"":""Point"",""coordinates"":[90.54726497493849,23.04519739080232]}"
00000000000000000921,Rice,Y,4971,1,Barisal,R,2016,16187,"{""type"":""Point"",""coordinates"":[90.54726497493849,23.04519739080232]}"
00000000000000000af3,Rice,Y,4971,1,Barisal,R,2018,16187,"{""type"":""Point"",""coordinates"":[90.54726497493849,23.04519739080232]}"
00000000000000000cc5,Rice,Y,4971,1,Barisal,R,2019,16187,"{""type"":""Point"",""coordinates"":[90.54726497493849,23.04519739080232]}"
00000000000000000e97,Rice,N,4971,1,Barisal,R,2020,16187,"{""type"":""Point"",""coordinates"":[90.54726497493849,23.04519739080232]}"
00000000000000000008,Rice,Y,5984,1,Barisal,R,2002,17366,"{""type"":""Point"",""coordinates"":[90.3990053047908,23.039580970085094]}"
000000000000000001da,Rice,Y,5984,1,Barisal,R,2004,17366,"{""type"":""Point"",""coordinates"":[90.3990053047908,23.039580970085094]}"
000000000000000003ac,Rice,Y,5984,1,Barisal,R,2006,17366,"{""type"":""Point"",""coordinates"":[90.3990053047908,23.039580970085094]}"
0000000000000000057e,Rice,Y,5984,1,Barisal,R,2009,17366,"{""type"":""Point"",""coordinates"":[90.3990053047908,23.039580970085094]}"
00000000000000000750,Rice,Y,5984,1,Barisal,R,2015,17366,"{""type"":""Point"",""coordinates"":[90.3990053047908,23.039580970085094]}"
00000000000000000922,Rice,Y,5984,1,Barisal,R,2016,17366,"{""type"":""Point"",""coordinates"":[90.3990053047908,23.039580970085094]}"
00000000000000000af4,Rice,Y,5984,1,Barisal,R,2018,17366,"{""type"":""Point"",""coordinates"":[90.3990053047908,23.039580970085094]}"
00000000000000000cc6,Rice,Y,5984,1,Barisal,R,2019,17366,"{""type"":""Point"",""coordinates"":[90.3990053047908,23.039580970085094]}"
00000000000000000e98,Rice,Y,5984,1,Barisal,R,2020,17366,"{""type"":""Point"",""coordinates"":[90.3990053047908,23.039580970085094]}"
00000000000000000009,Rice,Y,6205,1,Barisal,R,2002,13653,"{""type"":""Point"",""coordinates"":[90.35690069363004,23.038067152262055]}"
000000000000000001db,Rice,Y,6205,1,Barisal,R,2004,13653,"{""type"":""Point"",""coordinates"":[90.35690069363004,23.038067152262055]}"
000000000000000003ad,Rice,Y,6205,1,Barisal,R,2006,13653,"{""type"":""Point"",""coordinates"":[90.35690069363004,23.038067152262055]}"
0000000000000000057f,Rice,Y,6205,1,Barisal,R,2009,13653,"{""type"":""Point"",""coordinates"":[90.35690069363004,23.038067152262055]}"
00000000000000000751,Rice,Y,6205,1,Barisal,R,2015,13653,"{""type"":""Point"",""coordinates"":[90.35690069363004,23.038067152262055]}"
00000000000000000923,Rice,Y,6205,1,Barisal,R,2016,13653,"{""type"":""Point"",""coordinates"":[90.35690069363004,23.038067152262055]}"
00000000000000000af5,Rice,Y,6205,1,Barisal,R,2018,13653,"{""type"":""Point"",""coordinates"":[90.35690069363004,23.038067152262055]}"
00000000000000000cc7,Rice,Y,6205,1,Barisal,R,2019,13653,"{""type"":""Point"",""coordinates"":[90.35690069363004,23.038067152262055]}"
00000000000000000e99,Rice,Y,6205,1,Barisal,R,2020,13653,"{""type"":""Point"",""coordinates"":[90.35690069363004,23.038067152262055]}"
0000000000000000000a,Rice,N,6919,1,Barisal,R,2002,13176,"{""type"":""Point"",""coordinates"":[90.1849713524222,23.03266332922425]}"
000000000000000001dc,Rice,N,6919,1,Barisal,R,2004,13176,"{""type"":""Point"",""coordinates"":[90.1849713524222,23.03266332922425]}"
000000000000000003ae,Rice,Y,6919,1,Barisal,R,2006,13176,"{""type"":""Point"",""coordinates"":[90.1849713524222,23.03266332922425]}"
00000000000000000580,Rice,Y,6919,1,Barisal,R,2009,13176,"{""type"":""Point"",""coordinates"":[90.1849713524222,23.03266332922425]}"
00000000000000000752,Rice,Y,6919,1,Barisal,R,2015,13176,"{""type"":""Point"",""coordinates"":[90.1849713524222,23.03266332922425]}"
00000000000000000af6,Rice,Y,6919,1,Barisal,R,2018,13176,"{""type"":""Point"",""coordinates"":[90.1849713524222,23.03266332922425]}"
00000000000000000cc8,Rice,Y,6919,1,Barisal,R,2019,13176,"{""type"":""Point"",""coordinates"":[90.1849713524222,23.03266332922425]}"
00000000000000000e9a,Rice,Y,6919,1,Barisal,R,2020,13176,"{""type"":""Point"",""coordinates"":[90.1849713524222,23.03266332922425]}"
0000000000000000000c,Rice,N,9383,1,Barisal,R,2002,11225,"{""type"":""Point"",""coordinates"":[90.13511659911022,23.02445498730032]}"
000000000000000001de,Rice,N,9383,1,Barisal,R,2004,11225,"{""type"":""Point"",""coordinates"":[90.13511659911022,23.02445498730032]}"
000000000000000003b0,Rice,Y,9383,1,Barisal,R,2006,11225,"{""type"":""Point"",""coordinates"":[90.13511659911022,23.02445498730032]}"
00000000000000000582,Rice,Y,9383,1,Barisal,R,2009,11225,"{""type"":""Point"",""coordinates"":[90.13511659911022,23.02445498730032]}"
00000000000000000754,Rice,Y,9383,1,Barisal,R,2015,11225,"{""type"":""Point"",""coordinates"":[90.13511659911022,23.02445498730032]}"
00000000000000000926,Rice,N,9383,1,Barisal,R,2016,11225,"{""type"":""Point"",""coordinates"":[90.13511659911022,23.02445498730032]}"
00000000000000000af8,Rice,N,9383,1,Barisal,R,2018,11225,"{""type"":""Point"",""coordinates"":[90.13511659911022,23.02445498730032]}"
00000000000000000cca,Rice,Y,9383,1,Barisal,R,2019,11225,"{""type"":""Point"",""coordinates"":[90.13511659911022,23.02445498730032]}"
00000000000000000e9c,Rice,Y,9383,1,Barisal,R,2020,11225,"{""type"":""Point"",""coordinates"":[90.13511659911022,23.02445498730032]}"
0000000000000000000d,Rice,Y,10681,1,Barisal,R,2002,18528,"{""type"":""Point"",""coordinates"":[90.33960651306397,23.024777969429906]}"
000000000000000001df,Rice,Y,10681,1,Barisal,R,2004,18528,"{""type"":""Point"",""coordinates"":[90.33960651306397,23.024777969429906]}"
000000000000000003b1,Rice,Y,10681,1,Barisal,R,2006,18528,"{""type"":""Point"",""coordinates"":[90.33960651306397,23.024777969429906]}"
00000000000000000583,Rice,Y,10681,1,Barisal,R,2009,18528,"{""type"":""Point"",""coordinates"":[90.33960651306397,23.024777969429906]}"
00000000000000000755,Rice,Y,10681,1,Barisal,R,2015,18528,"{""type"":""Point"",""coordinates"":[90.33960651306397,23.024777969429906]}"
00000000000000000927,Rice,Y,10681,1,Barisal,R,2016,18528,"{""type"":""Point"",""coordinates"":[90.33960651306397,23.024777969429906]}"
00000000000000000af9,Rice,Y,10681,1,Barisal,R,2018,18528,"{""type"":""Point"",""coordinates"":[90.33960651306397,23.024777969429906]}"
00000000000000000ccb,Rice,Y,10681,1,Barisal,R,2019,18528,"{""type"":""Point"",""coordinates"":[90.33960651306397,23.024777969429906]}"
00000000000000000e9d,Rice,Y,10681,1,Barisal,R,2020,18528,"{""type"":""Point"",""coordinates"":[90.33960651306397,23.024777969429906]}"
00000000000000000928,Rice,Y,11364,1,Barisal,R,2016,14922,"{""type"":""Point"",""coordinates"":[90.50723587561419,23.025885736046533]}"
00000000000000000afa,Rice,Y,11364,1,Barisal,R,2018,14922,"{""type"":""Point"",""coordinates"":[90.50723587561419,23.025885736046533]}"
00000000000000000ccc,Rice,Y,11364,1,Barisal,R,2019,14922,"{""type"":""Point"",""coordinates"":[90.50723587561419,23.025885736046533]}"
00000000000000000e9e,Rice,Y,11364,1,Barisal,R,2020,14922,"{""type"":""Point"",""coordinates"":[90.50723587561419,23.025885736046533]}"
0000000000000000092a,Rice,Y,12277,1,Barisal,R,2016,16205,"{""type"":""Point"",""coordinates"":[90.54940221175761,23.024107066919942]}"
00000000000000000afc,Rice,Y,12277,1,Barisal,R,2018,16205,"{""type"":""Point"",""coordinates"":[90.54940221175761,23.024107066919942]}"
00000000000000000cce,Rice,Y,12277,1,Barisal,R,2019,16205,"{""type"":""Point"",""coordinates"":[90.54940221175761,23.024107066919942]}"
00000000000000000ea0,Rice,Y,12277,1,Barisal,R,2020,16205,"{""type"":""Point"",""coordinates"":[90.54940221175761,23.024107066919942]}"
00000000000000000011,Rice,N,13318,1,Barisal,R,2002,17127,"{""type"":""Point"",""coordinates"":[90.21166022785178,23.01526382089978]}"
000000000000000001e3,Rice,N,13318,1,Barisal,R,2004,17127,"{""type"":""Point"",""coordinates"":[90.21166022785178,23.01526382089978]}"
000000000000000003b5,Rice,Y,13318,1,Barisal,R,2006,17127,"{""type"":""Point"",""coordinates"":[90.21166022785178,23.01526382089978]}"
00000000000000000587,Rice,Y,13318,1,Barisal,R,2009,17127,"{""type"":""Point"",""coordinates"":[90.21166022785178,23.01526382089978]}"
00000000000000000759,Rice,Y,13318,1,Barisal,R,2015,17127,"{""type"":""Point"",""coordinates"":[90.21166022785178,23.01526382089978]}"
0000000000000000092b,Rice,Y,13318,1,Barisal,R,2016,17127,"{""type"":""Point"",""coordinates"":[90.21166022785178,23.01526382089978]}"
00000000000000000afd,Rice,Y,13318,1,Barisal,R,2018,17127,"{""type"":""Point"",""coordinates"":[90.21166022785178,23.01526382089978]}"
00000000000000000ccf,Rice,Y,13318,1,Barisal,R,2019,17127,"{""type"":""Point"",""coordinates"":[90.21166022785178,23.01526382089978]}"
00000000000000000ea1,Rice,Y,13318,1,Barisal,R,2020,17127,"{""type"":""Point"",""coordinates"":[90.21166022785178,23.01526382089978]}"
000000000000000001e4,Rice,N,13741,1,Barisal,R,2004,11143,"{""type"":""Point"",""coordinates"":[90.4941930761856,23.019179616453588]}"
00000000000000000013,Rice,N,14375,1,Barisal,R,2002,10926,"{""type"":""Point"",""coordinates"":[90.52318099054814,23.01801233174017]}"
000000000000000001e5,Rice,N,14375,1,Barisal,R,2004,10926,"{""type"":""Point"",""coordinates"":[90.52318099054814,23.01801233174017]}"
00000000000000000589,Rice,N,14375,1,Barisal,R,2009,10926,"{""type"":""Point"",""coordinates"":[90.52318099054814,23.01801233174017]}"
000000000000000001e6,Rice,Y,14599,1,Barisal,R,2004,10120,"{""type"":""Point"",""coordinates"":[90.37578437471748,23.014823900979362]}"
00000000000000000016,Rice,N,15683,1,Barisal,R,2002,12553,"{""type"":""Point"",""coordinates"":[90.16442517813233,23.00792487141287]}"
000000000000000001e8,Rice,N,15683,1,Barisal,R,2004,12553,"{""type"":""Point"",""coordinates"":[90.16442517813233,23.00792487141287]}"
000000000000000003ba,Rice,Y,15683,1,Barisal,R,2006,12553,"{""type"":""Point"",""coordinates"":[90.16442517813233,23.00792487141287]}"
0000000000000000058c,Rice,Y,15683,1,Barisal,R,2009,12553,"{""type"":""Point"",""coordinates"":[90.16442517813233,23.00792487141287]}"
0000000000000000075e,Rice,Y,15683,1,Barisal,R,2015,12553,"{""type"":""Point"",""coordinates"":[90.16442517813233,23.00792487141287]}"
00000000000000000b02,Rice,Y,15683,1,Barisal,R,2018,12553,"{""type"":""Point"",""coordinates"":[90.16442517813233,23.00792487141287]}"
00000000000000000cd4,Rice,Y,15683,1,Barisal,R,2019,12553,"{""type"":""Point"",""coordinates"":[90.16442517813233,23.00792487141287]}"
00000000000000000ea6,Rice,Y,15683,1,Barisal,R,2020,12553,"{""type"":""Point"",""coordinates"":[90.16442517813233,23.00792487141287]}"
00000000000000000017,Rice,Y,15803,1,Barisal,R,2002,15487,"{""type"":""Point"",""coordinates"":[90.3653211657415,23.011401297797775]}"
000000000000000001e9,Rice,Y,15803,1,Barisal,R,2004,15487,"{""type"":""Point"",""coordinates"":[90.3653211657415,23.011401297797775]}"
000000000000000003bb,Rice,Y,15803,1,Barisal,R,2006,15487,"{""type"":""Point"",""coordinates"":[90.3653211657415,23.011401297797775]}"
0000000000000000058d,Rice,Y,15803,1,Barisal,R,2009,15487,"{""type"":""Point"",""coordinates"":[90.3653211657415,23.011401297797775]}"
0000000000000000075f,Rice,Y,15803,1,Barisal,R,2015,15487,"{""type"":""Point"",""coordinates"":[90.3653211657415,23.011401297797775]}"
00000000000000000931,Rice,Y,15803,1,Barisal,R,2016,15487,"{""type"":""Point"",""coordinates"":[90.3653211657415,23.011401297797775]}"
00000000000000000b03,Rice,Y,15803,1,Barisal,R,2018,15487,"{""type"":""Point"",""coordinates"":[90.3653211657415,23.011401297797775]}"
00000000000000000cd5,Rice,Y,15803,1,Barisal,R,2019,15487,"{""type"":""Point"",""coordinates"":[90.3653211657415,23.011401297797775]}"
00000000000000000ea7,Rice,Y,15803,1,Barisal,R,2020,15487,"{""type"":""Point"",""coordinates"":[90.3653211657415,23.011401297797775]}"
00000000000000000019,Rice,N,19859,1,Barisal,R,2002,13966,"{""type"":""Point"",""coordinates"":[90.51376408248814,23.00486352869423]}"
000000000000000001eb,Rice,N,19859,1,Barisal,R,2004,13966,"{""type"":""Point"",""coordinates"":[90.51376408248814,23.00486352869423]}"
000000000000000003bd,Rice,Y,19859,1,Barisal,R,2006,13966,"{""type"":""Point"",""coordinates"":[90.51376408248814,23.00486352869423]}"
0000000000000000058f,Rice,Y,19859,1,Barisal,R,2009,13966,"{""type"":""Point"",""coordinates"":[90.51376408248814,23.00486352869423]}"
00000000000000000761,Rice,Y,19859,1,Barisal,R,2015,13966,"{""type"":""Point"",""coordinates"":[90.51376408248814,23.00486352869423]}"
00000000000000000933,Rice,Y,19859,1,Barisal,R,2016,13966,"{""type"":""Point"",""coordinates"":[90.51376408248814,23.00486352869423]}"
00000000000000000b05,Rice,Y,19859,1,Barisal,R,2018,13966,"{""type"":""Point"",""coordinates"":[90.51376408248814,23.00486352869423]}"
00000000000000000cd7,Rice,Y,19859,1,Barisal,R,2019,13966,"{""type"":""Point"",""coordinates"":[90.51376408248814,23.00486352869423]}"
00000000000000000ea9,Rice,N,19859,1,Barisal,R,2020,13966,"{""type"":""Point"",""coordinates"":[90.51376408248814,23.00486352869423]}"
00000000000000000762,Rice,Y,20186,1,Barisal,R,2015,12958,"{""type"":""Point"",""coordinates"":[90.43306314940058,23.002761884036637]}"
00000000000000000934,Rice,Y,20186,1,Barisal,R,2016,12958,"{""type"":""Point"",""coordinates"":[90.43306314940058,23.002761884036637]}"
00000000000000000cd8,Rice,Y,20186,1,Barisal,R,2019,12958,"{""type"":""Point"",""coordinates"":[90.43306314940058,23.002761884036637]}"
00000000000000000eaa,Rice,Y,20186,1,Barisal,R,2020,12958,"{""type"":""Point"",""coordinates"":[90.43306314940058,23.002761884036637]}"
0000000000000000001b,Rice,N,20223,1,Barisal,R,2002,14994,"{""type"":""Point"",""coordinates"":[90.48482736138168,23.003595976158273]}"
000000000000000001ed,Rice,Y,20223,1,Barisal,R,2004,14994,"{""type"":""Point"",""coordinates"":[90.48482736138168,23.003595976158273]}"
000000000000000003bf,Rice,N,20223,1,Barisal,R,2006,14994,"{""type"":""Point"",""coordinates"":[90.48482736138168,23.003595976158273]}"
00000000000000000591,Rice,N,20223,1,Barisal,R,2009,14994,"{""type"":""Point"",""coordinates"":[90.48482736138168,23.003595976158273]}"
00000000000000000763,Rice,N,20223,1,Barisal,R,2015,14994,"{""type"":""Point"",""coordinates"":[90.48482736138168,23.003595976158273]}"
00000000000000000935,Rice,Y,20223,1,Barisal,R,2016,14994,"{""type"":""Point"",""coordinates"":[90.48482736138168,23.003595976158273]}"
00000000000000000b07,Rice,Y,20223,1,Barisal,R,2018,14994,"{""type"":""Point"",""coordinates"":[90.48482736138168,23.003595976158273]}"
00000000000000000cd9,Rice,Y,20223,1,Barisal,R,2019,14994,"{""type"":""Point"",""coordinates"":[90.48482736138168,23.003595976158273]}"
0000000000000000001c,Rice,N,20351,1,Barisal,R,2002,12031,"{""type"":""Point"",""coordinates"":[90.12429801849461,22.996641524754523]}"
000000000000000001ee,Rice,N,20351,1,Barisal,R,2004,12031,"{""type"":""Point"",""coordinates"":[90.12429801849461,22.996641524754523]}"
000000000000000003c0,Rice,Y,20351,1,Barisal,R,2006,12031,"{""type"":""Point"",""coordinates"":[90.12429801849461,22.996641524754523]}"
00000000000000000592,Rice,Y,20351,1,Barisal,R,2009,12031,"{""type"":""Point"",""coordinates"":[90.12429801849461,22.996641524754523]}"
00000000000000000764,Rice,Y,20351,1,Barisal,R,2015,12031,"{""type"":""Point"",""coordinates"":[90.12429801849461,22.996641524754523]}"
00000000000000000936,Rice,N,20351,1,Barisal,R,2016,12031,"{""type"":""Point"",""coordinates"":[90.12429801849461,22.996641524754523]}"
00000000000000000b08,Rice,Y,20351,1,Barisal,R,2018,12031,"{""type"":""Point"",""coordinates"":[90.12429801849461,22.996641524754523]}"
00000000000000000cda,Rice,Y,20351,1,Barisal,R,2019,12031,"{""type"":""Point"",""coordinates"":[90.12429801849461,22.996641524754523]}"
00000000000000000eac,Rice,Y,20351,1,Barisal,R,2020,12031,"{""type"":""Point"",""coordinates"":[90.12429801849461,22.996641524754523]}"
0000000000000000001e,Rice,N,21245,1,Barisal,R,2002,13120,"{""type"":""Point"",""coordinates"":[90.19800839162475,22.996338224319985]}"
000000000000000001f0,Rice,N,21245,1,Barisal,R,2004,13120,"{""type"":""Point"",""coordinates"":[90.19800839162475,22.996338224319985]}"
000000000000000003c2,Rice,Y,21245,1,Barisal,R,2006,13120,"{""type"":""Point"",""coordinates"":[90.19800839162475,22.996338224319985]}"
00000000000000000594,Rice,Y,21245,1,Barisal,R,2009,13120,"{""type"":""Point"",""coordinates"":[90.19800839162475,22.996338224319985]}"
00000000000000000766,Rice,Y,21245,1,Barisal,R,2015,13120,"{""type"":""Point"",""coordinates"":[90.19800839162475,22.996338224319985]}"
00000000000000000938,Rice,Y,21245,1,Barisal,R,2016,13120,"{""type"":""Point"",""coordinates"":[90.19800839162475,22.996338224319985]}"
00000000000000000b0a,Rice,Y,21245,1,Barisal,R,2018,13120,"{""type"":""Point"",""coordinates"":[90.19800839162475,22.996338224319985]}"
00000000000000000cdc,Rice,Y,21245,1,Barisal,R,2019,13120,"{""type"":""Point"",""coordinates"":[90.19800839162475,22.996338224319985]}"
00000000000000000eae,Rice,Y,21245,1,Barisal,R,2020,13120,"{""type"":""Point"",""coordinates"":[90.19800839162475,22.996338224319985]}"
0000000000000000001f,Rice,Y,23042,1,Barisal,R,2002,14203,"{""type"":""Point"",""coordinates"":[90.4998473593613,22.998145755134765]}"
000000000000000001f1,Rice,Y,23042,1,Barisal,R,2004,14203,"{""type"":""Point"",""coordinates"":[90.4998473593613,22.998145755134765]}"
000000000000000003c3,Rice,Y,23042,1,Barisal,R,2006,14203,"{""type"":""Point"",""coordinates"":[90.4998473593613,22.998145755134765]}"
00000000000000000595,Rice,Y,23042,1,Barisal,R,2009,14203,"{""type"":""Point"",""coordinates"":[90.4998473593613,22.998145755134765]}"
00000000000000000767,Rice,Y,23042,1,Barisal,R,2015,14203,"{""type"":""Point"",""coordinates"":[90.4998473593613,22.998145755134765]}"
00000000000000000939,Rice,Y,23042,1,Barisal,R,2016,14203,"{""type"":""Point"",""coordinates"":[90.4998473593613,22.998145755134765]}"
00000000000000000b0b,Rice,Y,23042,1,Barisal,R,2018,14203,"{""type"":""Point"",""coordinates"":[90.4998473593613,22.998145755134765]}"
00000000000000000cdd,Rice,Y,23042,1,Barisal,R,2019,14203,"{""type"":""Point"",""coordinates"":[90.4998473593613,22.998145755134765]}"
00000000000000000eaf,Rice,Y,23042,1,Barisal,R,2020,14203,"{""type"":""Point"",""coordinates"":[90.4998473593613,22.998145755134765]}"
00000000000000000020,Rice,Y,23346,1,Barisal,R,2002,16927,"{""type"":""Point"",""coordinates"":[90.40160169721369,22.995751881674042]}"
000000000000000001f2,Rice,Y,23346,1,Barisal,R,2004,16927,"{""type"":""Point"",""coordinates"":[90.40160169721369,22.995751881674042]}"
000000000000000003c4,Rice,Y,23346,1,Barisal,R,2006,16927,"{""type"":""Point"",""coordinates"":[90.40160169721369,22.995751881674042]}"
00000000000000000596,Rice,Y,23346,1,Barisal,R,2009,16927,"{""type"":""Point"",""coordinates"":[90.40160169721369,22.995751881674042]}"
